Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
CM6627,2499,1749,30,Adidas CORE / NEO,3.4,65
CQ2039,16999,8499,50,Adidas ORIGINALS,5,56
CG6193,7599,5319,30,Adidas ORIGINALS,1,15
S82260,11999,4800,60,Adidas ORIGINALS,3.5,51
EE4945,11999,7199,40,Adidas ORIGINALS,3.4,84
EE7155,7999,4799,40,Adidas ORIGINALS,1,57
B44846,5999,2999,50,Adidas CORE / NEO,3.2,43
EE6044,7999,4799,40,Adidas ORIGINALS,4,83
EH0192,10999,6599,40,Adidas ORIGINALS,3.7,14
EE7045,7999,4799,40,Adidas ORIGINALS,2.5,62
CL7646,2699,2159,20,Adidas CORE / NEO,2.8,49
CL7346,2999,2399,20,Adidas CORE / NEO,2.7,37
EE5777,8999,5399,40,Adidas ORIGINALS,2.8,38
AQ1210,9999,4999,50,Adidas ORIGINALS,2.9,88
EF5925,7999,5599,30,Adidas ORIGINALS,4.3,98
EE7032,11999,7199,40,Adidas ORIGINALS,3.6,93
EE7708,7999,4799,40,Adidas ORIGINALS,4.1,18
AQ1119,12999,6499,50,Adidas ORIGINALS,3.7,23
F34311,7999,3999,50,Adidas ORIGINALS,3.6,59
CL7645,2699,2159,20,Adidas CORE / NEO,4.6,90
EE5089,8999,5399,40,Adidas ORIGINALS,3.7,37
CL7565,4999,2499,50,Adidas CORE / NEO,3,47
G27727,7999,3999,50,Adidas ORIGINALS,4.6,46
B44697,7999,3999,50,Adidas ORIGINALS,0,85
CL7400,5599,2799,50,Adidas CORE / NEO,4.1,68
CL7437,5299,2649,50,Adidas CORE / NEO,4.4,74
CL7563,4999,2499,50,Adidas CORE / NEO,3.7,1
CL7460,5999,2999,50,Adidas CORE / NEO,2,48
CL7507,4999,2499,50,Adidas CORE / NEO,4.8,0
CM0061,1299,779,40,Adidas CORE / NEO,2.7,14
F34308,7999,3999,50,Adidas ORIGINALS,4,69
CL7506,4999,2499,50,Adidas CORE / NEO,4.7,83
CL7344,2999,2399,20,Adidas CORE / NEO,2,86
EE5318,10999,6599,40,Adidas ORIGINALS,3.5,90
CL7564,4999,2499,50,Adidas CORE / NEO,4.6,58
CL7439,5299,2649,50,Adidas CORE / NEO,4.8,73
CL7345,2999,2399,20,Adidas CORE / NEO,2.8,11
CL7644,2699,2159,20,Adidas CORE / NEO,4.6,32
CL7438,5299,2649,50,Adidas CORE / NEO,2.7,78
CK9843,2799,1679,40,Adidas SPORT PERFORMANCE,1.5,47
EE8738,8999,5399,40,Adidas ORIGINALS,4.4,81
CL7576,5599,2799,50,Adidas CORE / NEO,4,15
CL7482,4599,2299,50,Adidas CORE / NEO,4.2,98
EE6129,5999,3599,40,Adidas ORIGINALS,4,1
EG3290,3999,3999,0,Adidas CORE / NEO,2.9,51
CL7467,5599,2799,50,Adidas CORE / NEO,4.7,57
EF1426,9999,4999,50,Adidas SPORT PERFORMANCE,3.2,50
CL7264,4999,2999,40,Adidas CORE / NEO,2.7,80
CL7472,5599,2799,50,Adidas CORE / NEO,4.5,75
CL7560,4599,2299,50,Adidas CORE / NEO,3.8,90
EE4574,7599,4559,40,Adidas ORIGINALS,4,68
CL7445,4299,2149,50,Adidas CORE / NEO,4.6,15
CL7404,3999,1999,50,Adidas CORE / NEO,3.8,64
CL7515,5299,2649,50,Adidas CORE / NEO,3.3,79
EE4763,7999,4799,40,Adidas ORIGINALS,4.1,70
CL7616,3999,2399,40,Adidas CORE / NEO,1,68
